;lat;lon;ciudad;zona;localidad;barrio;habitaciones;baños;area;area_privada;precio;moneda;tipo_propiedad;tipo_operacion
1065;4.709;-74.029;Bogotá D.C;Zona Norte;Usaquén;Bella Suiza;4.0;5.0;383.0;497.0;2150000000.0;COP;Apartamento;Venta
1066;4.671;-74.044;Bogotá D.C;Zona Chapinero;Chapinero;Chico Norte Ii;4.0;6.0;541.0;443.0;8000000000.0;COP;Apartamento;Venta
1067;4.69;-74.043;Bogotá D.C;Zona Norte;Usaquén;Santa Paula;3.0;2.0;120.0;120.0;560000000.0;COP;Apartamento;Venta
1068;4.7010000000000005;-74.03399999999999;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;2.0;2.0;106.0;106.0;475000000.0;COP;Apartamento;Venta
1069;4.696000000000001;-74.042;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;2.0;2.0;115.0;80.0;400000000.0;COP;Apartamento;Venta
1070;4.729;-74.03;Bogotá D.C;Zona Norte;Usaquén;Cedritos;4.0;3.0;89.0;89.0;370000000.0;COP;Apartamento;Venta
1071;4.629;-74.07300000000001;Bogotá D.C;Zona Chapinero;Teusaquillo;La Soledad ;2.0;2.0;67.0;67.0;365000000.0;COP;Apartamento;Venta
1072;4.749;-74.062;Bogotá D.C;Zona Noroccidental;Suba;Portales Del Norte;3.0;2.0;87.0;87.0;440000000.0;COP;Apartamento;Venta
1073;4.695;-74.035;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;3.0;2.0;130.0;130.0;720000000.0;COP;Apartamento;Venta
1074;4.715;-74.031;Bogotá D.C;Zona Norte;Usaquén;Cedritos;3.0;2.0;90.0;90.0;380000000.0;COP;Apartamento;Venta
1075;4.678999999999999;-74.055;Bogotá D.C;Zona Chapinero;Chapinero;El Chicó;2.0;3.0;77.0;77.0;530000000.0;COP;Apartamento;Venta
1076;4.697;-74.04;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;1.0;2.0;64.0;64.0;440000000.0;COP;Apartamento;Venta
1077;4.727;-74.036;Bogotá D.C;Zona Norte;Usaquén;Cedritos;2.0;2.0;82.0;82.0;490000000.0;COP;Apartamento;Venta
1078;4.697;-74.045;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;3.0;3.0;172.0;172.0;798000000.0;COP;Apartamento;Venta
1079;4.697;-74.045;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;4.0;3.0;210.0;210.0;1400000000.0;COP;Apartamento;Venta
